2019-11-09,Auburn,88,Washington,66
2019-11-09,Buffalo,99,West Virginia,94
2019-11-09,BYU,75,Utah Valley,65
2019-11-09,Central Michigan,101,Chicago St,60
2019-11-09,Clemson,71,North Carolina Central,51
2019-11-09,Coastal Carolina,85,Campbell,75
2019-11-09,Colgate,87,Monmouth,74
2019-11-09,Davidson,79,Dartmouth,76
2019-11-09,Eastern Michigan,66,Drexel,62
2019-11-09,Florida,76,Charleston Southern,46
2019-11-09,Furman,60,Loyola Chicago,58
2019-11-09,Georgia,110,Savannah St,76
2019-11-09,Georgia Tech,88,Lamar,69
2019-11-09,Hawaii,82,Portland,64
2019-11-09,Hofstra,79,Mount St. Mary's,61
2019-11-09,Indiana,80,Montana St,35
2019-11-09,Indiana St,78,Green Bay,74
2019-11-09,Iona,72,Albany,68
2019-11-09,Iowa St,76,Missouri,59
2019-11-09,James Madison,73,East Carolina,72
2019-11-09,Kansas St,56,Kennesaw St,41
2019-11-09,Kentucky,71,Southern Illinois,59
2019-11-09,LIU Brooklyn,83,Brown,81
2019-11-09,Longwood,63,Richmond,58
2019-11-09,LSU,97,UNC Greensboro,91
2019-11-09,Maryland,78,Navy,57
2019-11-09,Massachusetts,104,New Hampshire,75
2019-11-09,Miami FL,83,Lehigh,62
2019-11-09,Mississippi St,95,Austin Peay,67
2019-11-09,Missouri St,74,Robert Morris,60
2019-11-09,Montana,81,Georgia St,74
2019-11-09,Northern Kentucky,88,Northern Illinois,85
2019-11-09,Nevada,83,Pacific,61
2019-11-09,New Mexico St,96,UTEP,69
2019-11-09,NJIT,74,Binghamton,57
2019-11-09,North Carolina,116,Elon,67
2019-11-09,Northeastern,81,Harvard,71
2019-11-09,Oklahoma,91,UT Rio Grande Valley,76
2019-11-09,Oregon,81,Eastern Washington,47
2019-11-09,Penn,92,Rice,76
2019-11-09,Penn St,87,North Florida,72
2019-11-09,Pittsburgh,94,VMI,55
2019-11-09,Prairie View A&M,81,Santa Clara,64
2019-11-09,Radford,88,Illinois Chicago,78
2019-11-09,Rutgers,90,Fairleigh Dickinson,55
2019-11-09,Samford,92,Jacksonville St,72
2019-11-09,San Diego,76,UC Davis,57
2019-11-09,St. Francis PA,80,Morgan St,60
2019-11-09,St. John's,84,Bowling Green,80
2019-11-09,Saint Joseph's,79,Old Dominion,64
2019-11-09,Stanford,72,UNC Wilmington,59
2019-11-09,Stony Brook,83,South Carolina,81
2019-11-09,Temple,83,Detroit,67
2019-11-09,Tennessee,87,Louisiana Lafayette,65
2019-11-09,Texas,73,Arkansas,71
2019-11-09,Texas St,67,Air Force,57
2019-11-09,Texas Tech,84,Mississippi Valley St,52
2019-11-09,Toledo,87,Oakland,86
2019-11-09,UC Irvine,74,Texas A&M,73
2019-11-09,UCLA,91,Long Beach St,80
2019-11-09,Utah St,100,Hartford,73
2019-11-09,VCU,69,Hampton,57
2019-11-09,Vermont,78,Boston University,72
2019-11-09,Virginia Tech,87,Gardner Webb,59
2019-11-09,Wichita St,83,Providence,80
2019-11-09,Yale,76,California,59
2019-11-10,Akron,98,Youngstown St,69
2019-11-10,Baylor,80,Southern Univ,53
2019-11-10,Belmont,100,Illinois St,89
2019-11-10,Bradley,68,Southeast Missouri St,57
2019-11-10,Butler,90,Miami OH,68
2019-11-10,Charlotte,66,Oklahoma St,64
2019-11-10,College of Charleston,77,Western Carolina,74
2019-11-10,Colorado St,92,Arkansas Pine Bluff,67
2019-11-10,Dayton,76,Coppin St,46
2019-11-10,Delaware,78,Saint Peter's,75
2019-11-10,Duquesne,84,William & Mary,70
2019-11-10,Eastern Kentucky,81,Chattanooga,78
2019-11-10,Fairfield,60,Bucknell,58
2019-11-10,Georgetown,85,Central Connecticut,78
2019-11-10,Gonzaga,104,Texas Southern,67
2019-11-10,Grand Canyon,89,Delaware St,47
2019-11-10,Houston,101,Alabama A&M,54
2019-11-10,Houston Baptist,75,Fordham,72
2019-11-10,Idaho St,72,Boise St,70
2019-11-10,IUPUI,71,Eastern Illinois,65
2019-11-10,Kent St,83,Cleveland St,79
2019-11-10,Lafayette,77,La Salle,76
2019-11-10,Lipscomb,86,Tennessee St,79
2019-11-10,Loyola Marymount,61,UNLV,50
2019-11-10,UMass Lowell,88,Wagner,84
2019-11-10,Marist,82,Columbia,76
2019-11-10,Marquette,92,Bethune Cookman,59
2019-11-10,Michigan,56,Holy Cross,37
2019-11-10,Mississippi,90,Western Michigan,64
2019-11-10,Murray St,73,Wright St,54
2019-11-10,North Carolina St,95,Maryland Eastern Shore,49
2019-11-10,North Dakota,63,Milwaukee,60
2019-11-10,North Texas,78,Portland,73
2019-11-10,Northern Arizona,97,Jacksonville,82
2019-11-10,Oregon St,83,Wyoming,64
2019-11-10,Portland St,71,UC Riverside,64
2019-11-10,Presbyterian,80,Tennessee Tech,65
2019-11-10,Purdue,84,Ball St,75
2019-11-10,San Francisco,93,Maine,50
2019-11-10,Southern Utah,66,San Jose St,59
2019-11-10,St. Bonaventure,67,Jackson St,36
2019-11-10,Saint Louis,62,Troy,58
2019-11-10,Syracuse,84,Morehead St,70
2019-11-10,Tulsa,74,South Carolina St,52
2019-11-10,UT Arlington,74,Northern Iowa,65
2019-11-10,Villanova,86,Quinnipiac,53
2019-11-10,Western Kentucky,86,Tennessee Martin,71
2019-11-10,Wake Forest,90,North Carolina A&T,78
2019-11-10,Winthrop,94,SIU Edwardsville,82
2019-11-10,Wofford,68,High Point,60
2019-11-10,Xavier,91,Evansville,85
2019-11-11,Alabama,81,Appalachian St,73
2019-11-11,Arizona,82,Cal Poly,61
2019-11-11,Boston College,74,St. Francis NY,69
2019-11-11,Colgate,73,Cornell,57
2019-11-11,Connecticut,94,UMKC,66
2019-11-11,Creighton,75,East Tennessee St,69
2019-11-11,Dartmouth,82,Loyola MD,80
2019-11-11,Duke,94,Army,72
2019-11-11,East Carolina,84,Lamar,78
2019-11-11,Florida Atlantic,80,UCF,79
2019-11-11,Florida St,80,Tulane,69
2019-11-11,Iowa,93,Green Bay,82
