player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Kenny Goins,Michigan St,39,75.6,110.6,15.4,50.9,52.95,8.9,22.3,12.7,18.7,35,48,0.729,53,106,0.5,56,163,0.344,4.4,1.3,17.8,3,2.49884,111.27,2.7,91.1513,85.7918,4.58236,266.338,9.33978,3.72411,5.61568,7.59555,30.4359,3.43275,4.16281,2.1538,6.7949,8.9487,2.2821,0.6667,1.2821,7.9231
Aaron Calixte,Oklahoma,34,52.5,90.9,20.3,48,50.92,1.1,7.6,18.2,24.6,32,42,0.762,45,99,0.455,34,101,0.337,0,1,21,3,0.79057,98.3168,2.6,103.869,97.6151,2.31839,108.436,-0.0268007,-0.0900537,0.063253,-1.16141,21.0588,-1.28428,0.122862,0.2059,1.5588,1.7647,2.0588,0.3529,0,6.5882
Jordan Nobles,Oakland,10,21.6,117.3,11.2,50.9,51.91,3.1,7.9,15.9,9.1,3,4,0.75,12,23,0.522,10,30,0.333,2.6,1.4,7.5,3,1.26419,100.775,4.5,112.358,111.228,1.73068,43.6324,0.49989,0.619003,-0.119113,-1.80054,28.0909,-1.04437,-0.756171,0.7273,2.2727,3,2.7273,0.8182,0.8182,6.6364
Jeremy Jones,Gonzaga,37,35.2,133.4,10.3,69.2,71.52,6.1,18.4,9,18.8,30,40,0.75,25,35,0.714,11,25,0.44,1.4,2,66.7,3,1.51213,118.406,3.8,90.2381,87.3545,2.05725,111.94,8.4018,4.36105,4.04076,7.15728,14.0811,2.76831,4.38896,0.6757,2.5676,3.2432,0.9189,0.5135,0.1892,3.0541
Clayton Custer,Loyola Chicago,33,84.1,101.9,20.3,52.8,55.15,1.7,6.1,16.7,17,51,71,0.718,71,142,0.5,58,157,0.369,0.1,2.1,23.7,3,1.85756,103.373,2.2,99.9089,101.125,3.30697,173.303,0.627795,1.35252,-0.724728,0.284692,33.3235,0.195437,0.0892547,0.3824,1.6471,2.0294,2.7353,1.1176,0.0294,11.1176
Fallou Ndoye,Santa Clara,9,8.3,37.8,16,12.5,15.92,6.2,13.8,5.3,36.9,2,6,0.333,2,16,0.125,0,0,0,4.3,0,37.5,3,-1.99616,36.1974,6.3,105.671,104.598,0.968095,16.2917,-11.7338,-12.3536,0.619758,-12.2211,11.2222,-11.3661,-0.854985,0.5556,1.3333,1.8889,0.3333,0,0.4444,0.6667
Isaiah Gurley,Texas St,19,12.3,74.6,13.1,27,31.5,0.7,17.3,7.8,11.2,6,9,0.667,10,22,0.455,0,15,0,0.8,0.7,24.3,3,-0.614305,66.025,3,99.3657,100.853,0.819872,27.3541,-6.3306,-6.00835,-0.322249,-7.67094,9.7619,-7.073,-0.597947,0.0476,1.4286,1.4762,0.4762,0.1905,0.0476,1.9048
Max Twyman,Hartford,32,28.3,135.4,8.5,74.4,74.66,3.3,6.6,8.2,17,13,18,0.722,8,14,0.571,14,25,0.56,0.3,1,46.2,3,0.946425,111.573,3.4,112.387,115.526,0.546803,49.3086,-1.9276,0.934085,-2.86168,-1.86629,11.7273,-0.324178,-1.54211,0.303,0.6061,0.9091,0.5455,0.2424,0.0303,2.3939
Toby Van Ry,UTSA,8,1.5,92.1,20.9,40,42.02,12.1,37.9,10.6,15.4,1,2,0.5,2,3,0.667,0,2,0,6.5,3.2,40,3,0.0366549,92.4293,2.4,87.5542,88.3423,0.303179,5.3691,1.57218,-2.76795,4.34013,4.77025,3.2727,1.76354,3.00671,0.1818,0.9091,1.0909,0.2727,0.0909,0.0909,0.9091
Ed Jones,Alabama St,25,20.7,77.9,19.9,35.8,37.01,4.3,5.1,3.7,14.5,6,11,0.545,18,51,0.353,9,37,0.243,2.8,1.2,12.5,3,-0.390569,75.7144,7.3,109.675,114.011,0.51374,36.393,-8.97674,-5.38743,-3.58931,-10.6942,9.7778,-7.8999,-2.79426,0.3704,0.4074,0.7778,0.1481,0.2222,0.2963,2.963
